# name<TAB>version<TAB>platforms<TAB>declared-license<TAB>source<TAB>repository
# Generated from the locked quirl-cli normal/build closure for all supported release targets.
rayon-cond	0.4.0	linux,macos	Apache-2.0/MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/cuviper/rayon-cond
rayon-core	1.13.0	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/rayon-rs/rayon
reedline	0.49.0	linux,macos	MIT	vendored+vendor/reedline	https://github.com/nushell/reedline
regex	1.13.1	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/rust-lang/regex
regex-automata	0.4.18	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/rust-lang/regex
regex-syntax	0.8.11	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/rust-lang/regex
ring	0.17.14	linux,macos	Apache-2.0 AND ISC	registry+https://github.com/rust-lang/crates.io-index	https://github.com/briansmith/ring
rusqlite	0.40.2	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/rusqlite/rusqlite
rustc-hash	2.1.3	linux,macos	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/rust-lang/rustc-hash
rustc_version	0.4.1	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/djc/rustc-version-rs
rustix	1.1.4	linux,macos	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/bytecodealliance/rustix
rustls	0.23.43	linux,macos	Apache-2.0 OR ISC OR MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/rustls/rustls
rustls-pki-types	1.15.1	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/rustls/pki-types
rustls-webpki	0.103.14	linux,macos	ISC	registry+https://github.com/rust-lang/crates.io-index	https://github.com/rustls/webpki
rustversion	1.0.23	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/dtolnay/rustversion
ryu	1.0.23	linux,macos	Apache-2.0 OR BSL-1.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/dtolnay/ryu
safetensors	0.5.3	linux,macos	Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/huggingface/safetensors
same-file	1.0.6	linux,macos	Unlicense/MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/BurntSushi/same-file
